code,display_name,line_item_description,kind,type_code,category_code,unit_type_ref,unit_cost,buy_cost,markup_type,markup_value,tax_rate,pricing_mode,fixed_unit_cost,external_reference
MAT-CARP-PLY-17-05,17mm flooring ply,Supply 17mm flooring grade plywood for tile or vinyl substrate,primitive,material,carpentry,ea,37.20,31.00,percent,20,0.10,,,
MAT-CARP-SKIR-MDF-06,MDF skirting,Supply primed MDF skirting profile per linear metre,primitive,material,carpentry,ea,41.40,34.50,percent,20,0.10,,,
MAT-CARP-SKIR-TIM-07,Timber skirting,Supply timber skirting profile per linear metre to match existing,primitive,material,carpentry,ea,45.60,38.00,percent,20,0.10,,,
MAT-CARP-ARCHITRAVE-08,Timber architrave,Supply timber architrave per linear metre to match existing profile,primitive,material,carpentry,ea,49.80,41.50,percent,20,0.10,,,
MAT-CARP-DOOR-JAMB-09,Door jamb set,Supply and install pre-hung door jamb set to standard opening,primitive,material,carpentry,ea,54.00,45.00,percent,20,0.10,,,
MAT-CARP-DOOR-BED-10,Internal hollow core door,Supply hollow core internal door slab to standard size,primitive,material,carpentry,ea,58.20,48.50,percent,20,0.10,,,
MAT-CARP-DOOR-SOL-11,Solid core door,Supply solid core internal door slab for acoustic or fire separation,primitive,material,carpentry,ea,62.40,52.00,percent,20,0.10,,,
MAT-CARP-LOCKSET-12,Entrance lockset,Supply and install entrance lockset with keyed cylinder,primitive,material,carpentry,ea,66.60,55.50,percent,20,0.10,,,
MAT-CARP-HET-PASS-13,Privacy lockset,Supply and install privacy set for bathroom or bedroom door,primitive,material,carpentry,ea,70.80,59.00,percent,20,0.10,,,
MAT-CARP-HINGE-PAIR-14,Door hinge pair,Supply and install ball bearing door hinge pair,primitive,material,carpentry,ea,75.00,62.50,percent,20,0.10,,,
MAT-CARP-CAB-SHELF-15,Adjustable shelf,Supply and install adjustable shelf and supports in cupboard,primitive,material,carpentry,ea,79.20,66.00,percent,20,0.10,,,
MAT-CARP-KICK-BOARD-16,Kitchen kickboard,Supply and install kitchen kickboard panel to match cabinetry,primitive,material,carpentry,ea,83.40,69.50,percent,20,0.10,,,
MAT-CARP-BENCH-TOP-17,Laminate benchtop,Supply and install laminate benchtop with masonite substrate per lm,primitive,material,carpentry,ea,87.60,73.00,percent,20,0.10,,,
MAT-CARP-CAB-HINGE-18,Soft close hinge,Supply and install soft close cabinet hinge pair,primitive,material,carpentry,ea,20.40,17.00,percent,20,0.10,,,
MAT-CARP-DRAW-RUNNER-19,Drawer runner set,Supply and install ball bearing drawer runner set,primitive,material,carpentry,ea,24.60,20.50,percent,20,0.10,,,
MAT-CARP-DECK-BRD-20,Decking board,Supply hardwood or composite decking board per linear metre,primitive,material,carpentry,ea,28.80,24.00,percent,20,0.10,,,
MAT-GENE-PAINT-INT-01,Interior paint litre,Supply premium interior low sheen paint per litre including tint,primitive,material,general,ea,18.00,15.00,percent,20,0.10,,,
MAT-GENE-PAINT-EXT-02,Exterior paint litre,Supply exterior acrylic paint per litre including UV resistant tint,primitive,material,general,ea,22.20,18.50,percent,20,0.10,,,
MAT-GENE-PAINT-PRIM-03,Primer sealer litre,Supply stain blocking primer sealer per litre for repair preparation,primitive,material,general,ea,26.40,22.00,percent,20,0.10,,,
MAT-GENE-PAINT-UNDR-04,Undercoat litre,Supply undercoat per litre for timber and metal preparation,primitive,material,general,ea,30.60,25.50,percent,20,0.10,,,
MAT-GENE-FILL-GAP-05,Gap filler tube,Supply paintable gap filler cartridge for internal joints,primitive,material,general,ea,34.80,29.00,percent,20,0.10,,,
MAT-GENE-SAND-PAPER-06,Sandpaper pack,Supply assorted grit sandpaper for preparation and finishing,primitive,material,general,ea,39.00,32.50,percent,20,0.10,,,
MAT-GENE-DROP-SHEET-07,Canvas drop sheet,Supply canvas drop sheet for floor and furniture protection,primitive,material,general,ea,43.20,36.00,percent,20,0.10,,,
MAT-GENE-MASQ-TAPE-08,Masking tape roll,Supply low tack masking tape for paint masking,primitive,material,general,ea,47.40,39.50,percent,20,0.10,,,
MAT-GENE-TILE-CER-09,Ceramic floor tile,Supply ceramic floor tile per square metre allowance for wastage,primitive,material,general,ea,51.60,43.00,percent,20,0.10,,,
MAT-GENE-TILE-POR-10,Porcelain wall tile,Supply porcelain wall tile per square metre for wet areas,primitive,material,general,ea,55.80,46.50,percent,20,0.10,,,
MAT-GENE-TILE-ADH-11,Tile adhesive bag,Supply flexible tile adhesive bag for floor or wall installation,primitive,material,general,ea,60.00,50.00,percent,20,0.10,,,
MAT-GENE-GROUT-BAG-12,Tile grout bag,Supply colour matched tile grout for joint finishing,primitive,material,general,ea,64.20,53.50,percent,20,0.10,,,
MAT-GENE-VINYL-PLK-13,Vinyl plank,Supply luxury vinyl plank flooring per square metre,primitive,material,general,ea,68.40,57.00,percent,20,0.10,,,
MAT-GENE-CARPET-14,Carpet supply,Supply residential carpet per square metre including underlay allowance,primitive,material,general,ea,72.60,60.50,percent,20,0.10,,,
MAT-GENE-UNDERLAY-15,Carpet underlay,Supply carpet underlay per square metre,primitive,material,general,ea,76.80,64.00,percent,20,0.10,,,
MAT-GENE-ROOF-TILE-16,Concrete roof tile,Supply concrete roof tile to match existing profile,primitive,material,general,ea,81.00,67.50,percent,20,0.10,,,
MAT-GENE-ROOF-BED-17,Roof bedding compound,Supply roof bedding mortar for ridge and hip repointing,primitive,material,general,ea,85.20,71.00,percent,20,0.10,,,
MAT-GENE-ROOF-PTG-18,Roof pointing compound,Supply flexible roof pointing compound for ridge capping,primitive,material,general,ea,18.00,15.00,percent,20,0.10,,,
MAT-GENE-GUTTER-QUAD-19,Quad gutter,Supply quad profile colorbond gutter per linear metre,primitive,material,general,ea,22.20,18.50,percent,20,0.10,,,
MAT-GENE-DOWNPIPE-20,Downpipe section,Supply colorbond downpipe per linear metre with brackets,primitive,material,general,ea,26.40,22.00,percent,20,0.10,,,
MAT-GENE-FASCIA-21,Fascia board,Supply primed fascia board per linear metre,primitive,material,general,ea,30.60,25.50,percent,20,0.10,,,
MAT-GENE-BARGE-22,Barge board,Supply barge board per linear metre to match roof line,primitive,material,general,ea,34.80,29.00,percent,20,0.10,,,
MAT-GENE-FENCE-PAL-23,Paling fence panel,Supply treated pine paling fence per linear metre,primitive,material,general,ea,39.00,32.50,percent,20,0.10,,,
MAT-GENE-GATE-SGL-24,Side gate,Supply and hang side gate in timber or metal to match fence,primitive,material,general,ea,43.20,36.00,percent,20,0.10,,,
MAT-GENE-CONCRETE-M3-25,Concrete supply,Supply 25 MPa concrete per cubic metre for path or slab repair,primitive,material,general,ea,47.40,39.50,percent,20,0.10,,,
MAT-GENE-REO-MESH-26,Reinforcing mesh sheet,Supply SL72 reinforcing mesh sheet for slab repair,primitive,material,general,ea,51.60,43.00,percent,20,0.10,,,
MAT-GENE-BRICK-STD-27,Standard brick,Supply standard clay brick per unit for patch masonry,primitive,material,general,ea,55.80,46.50,percent,20,0.10,,,
MAT-GENE-MORTAR-BAG-28,Mortar mix bag,Supply bricklaying mortar mix bag for repair work,primitive,material,general,ea,60.00,50.00,percent,20,0.10,,,
MAT-GENE-ASB-SHEET-29,FC sheeting,Supply fibre cement sheet for external cladding repair,primitive,material,general,ea,64.20,53.50,percent,20,0.10,,,
MAT-GENE-MEMBRANE-30,Building wrap,Supply breathable building wrap per square metre,primitive,material,general,ea,68.40,57.00,percent,20,0.10,,,
MAT-GENE-HVAC-FILTER-31,Return air filter,Supply and replace return air grille filter after dust remediation,primitive,material,general,ea,72.60,60.50,percent,20,0.10,,,
MAT-GENE-CLEAN-SOL-32,Cleaning solution,Supply antimicrobial cleaning solution for mould wash down,primitive,material,general,ea,76.80,64.00,percent,20,0.10,,,
MAT-GENE-MOULD-TRT-33,Mould treatment,Supply mould treatment chemical for affected porous surfaces,primitive,material,general,ea,81.00,67.50,percent,20,0.10,,,
MAT-GENE-HEPA-FILTER-34,HEPA filter cartridge,Supply HEPA filter cartridge for air scrubber during remediation,primitive,material,general,ea,85.20,71.00,percent,20,0.10,,,
MAT-GENE-ASB-TEST-35,Asbestos sample test,Supply NATA laboratory asbestos sample testing fee per sample,primitive,material,general,ea,18.00,15.00,percent,20,0.10,,,
MAT-GENE-SKIP-4M-36,4m skip bin,Supply 4 cubic metre skip bin including delivery and collection,primitive,material,general,ea,22.20,18.50,percent,20,0.10,,,
MAT-GENE-SKIP-6M-37,6m skip bin,Supply 6 cubic metre skip bin including delivery and collection,primitive,material,general,ea,26.40,22.00,percent,20,0.10,,,
MAT-GENE-POLY-SHEET-38,Polyethylene sheet,Supply 200 micron poly sheet per square metre for containment,primitive,material,general,ea,30.60,25.50,percent,20,0.10,,,
MAT-GENE-TAPE-ZONE-39,Contamination tape,Supply hazard tape for containment zone demarcation,primitive,material,general,ea,34.80,29.00,percent,20,0.10,,,
MAT-GENE-TEMP-FENCE-40,Temporary fence panel,Supply temporary fence panel hire per day for site safety,primitive,material,general,ea,39.00,32.50,percent,20,0.10,,,
MAT-GENE-TEMP-TOIL-41,Portable toilet hire,Supply portable toilet hire per week on active site,primitive,material,general,ea,43.20,36.00,percent,20,0.10,,,
MAT-GENE-SITE-SIGN-42,Site safety signage,Supply site safety and warning signage pack for active works,primitive,material,general,ea,47.40,39.50,percent,20,0.10,,,
MAT-GENE-FIRST-AID-43,First aid kit,Supply compliant site first aid kit for duration of works,primitive,material,general,ea,51.60,43.00,percent,20,0.10,,,
LAB-ELE-01,Install power outlet (per hr),Labour to install and test general purpose outlet on existing circuit,primitive,labour,electrical,hr,114.00,95.00,percent,20,0.10,,,
LAB-ELE-02,Install light switch (per hr),Labour to install and test light switch including termination,primitive,labour,electrical,hr,116.40,97.00,percent,20,0.10,,,
LAB-ELE-03,Cut-in downlight (per hr),"Labour to cut ceiling, install downlight and connect to circuit",primitive,labour,electrical,hr,118.80,99.00,percent,20,0.10,,,
LAB-ELE-04,Switchboard labour (per hr),Labour to replace switchboard chassis and reconnect circuits,primitive,labour,electrical,hr,121.20,101.00,percent,20,0.10,,,
LAB-ELE-05,Electrical fault find (per hr),Labour to diagnose and locate electrical fault on domestic installation,primitive,labour,electrical,hr,123.60,103.00,percent,20,0.10,,,
LAB-ELE-06,Test smoke alarms (per hr),Labour to test and certify interconnected smoke alarm system,primitive,labour,electrical,hr,114.00,95.00,percent,20,0.10,,,
LAB-ELE-07,Cable pull labour (per hr),Labour to pull and clip cable through wall or ceiling cavity,primitive,labour,electrical,hr,116.40,97.00,percent,20,0.10,,,
LAB-ELE-08,Install exhaust fan (per hr),Labour to install exhaust fan and duct to external discharge,primitive,labour,electrical,hr,118.80,99.00,percent,20,0.10,,,
LAB-ELE-09,Reconnect HWS (per hr),Labour to disconnect and reconnect hot water service electrical supply,primitive,labour,electrical,hr,121.20,101.00,percent,20,0.10,,,
LAB-ELE-10,Electrical compliance test (per hr),Labour to perform compliance testing and issue certificate,primitive,labour,electrical,hr,123.60,103.00,percent,20,0.10,,,
LAB-PLU-01,Replace tapware (per hr),"Labour to isolate, remove and install basin or sink tapware",primitive,labour,plumbing,hr,110.40,92.00,percent,20,0.10,,,
LAB-PLU-02,Replace toilet suite (per hr),Labour to remove existing and install new toilet suite,primitive,labour,plumbing,hr,112.80,94.00,percent,20,0.10,,,
LAB-PLU-03,Repair water leak (per hr),Labour to locate and repair pressurised water leak,primitive,labour,plumbing,hr,115.20,96.00,percent,20,0.10,,,
LAB-PLU-04,Clear blocked drain (per hr),Labour and hand tools to clear blocked fixture drain line,primitive,labour,plumbing,hr,117.60,98.00,percent,20,0.10,,,
LAB-PLU-05,Repair burst pipe (per hr),Labour to repair or splice burst water or waste pipe in accessible location,primitive,labour,plumbing,hr,120.00,100.00,percent,20,0.10,,,
LAB-PLU-06,Install HWS (per hr),Labour to position and connect storage hot water service,primitive,labour,plumbing,hr,110.40,92.00,percent,20,0.10,,,
LAB-PLU-07,Install shower (per hr),Labour to install shower screen valves and test for leaks,primitive,labour,plumbing,hr,112.80,94.00,percent,20,0.10,,,
LAB-PLU-08,Plumbing rough-in (per hr),Labour for rough-in water and waste pipework to wet area,primitive,labour,plumbing,hr,115.20,96.00,percent,20,0.10,,,
LAB-PLU-09,Plumbing fit-off (per hr),Labour for final fit-off of fixtures and appliances in wet area,primitive,labour,plumbing,hr,117.60,98.00,percent,20,0.10,,,
LAB-PLU-10,Drain camera inspect (per hr),Labour to perform CCTV inspection of sewer line and report findings,primitive,labour,plumbing,hr,120.00,100.00,percent,20,0.10,,,
LAB-PLS-01,Fix plasterboard (per hr),Labour to measure cut and fix plasterboard sheets to framing,primitive,labour,plastering,hr,93.60,78.00,percent,20,0.10,,,
LAB-PLS-02,Set plaster joints (per hr),Labour to tape and three coat set plasterboard joints,primitive,labour,plastering,hr,96.00,80.00,percent,20,0.10,,,
LAB-PLS-03,Sand plaster finish (per hr),Labour to sand plasterboard joints to smooth paint ready finish,primitive,labour,plastering,hr,98.40,82.00,percent,20,0.10,,,
LAB-PLS-04,Patch plaster repair (per hr),Labour to patch repair damaged plasterboard to blend with existing,primitive,labour,plastering,hr,100.80,84.00,percent,20,0.10,,,
LAB-PLS-05,Ceiling set down (per hr),Labour to strap and line set down ceiling after water damage,primitive,labour,plastering,hr,103.20,86.00,percent,20,0.10,,,
LAB-PLS-06,Install cornice (per hr),Labour to install plaster cornice to wall and ceiling junction,primitive,labour,plastering,hr,93.60,78.00,percent,20,0.10,,,
LAB-PLS-07,Render patch repair (per hr),Labour to patch repair external render to match texture,primitive,labour,plastering,hr,96.00,80.00,percent,20,0.10,,,
LAB-PLS-08,Install insulation (per hr),Labour to install ceiling or wall insulation batts,primitive,labour,plastering,hr,98.40,82.00,percent,20,0.10,,,
LAB-PLS-09,Match stipple texture (per hr),Labour to replicate stipple or texture finish on patched area,primitive,labour,plastering,hr,100.80,84.00,percent,20,0.10,,,
LAB-PLS-10,Vacuum sanding (per hr),Labour for dust controlled vacuum sanding in occupied premises,primitive,labour,plastering,hr,103.20,86.00,percent,20,0.10,,,
LAB-CAR-01,Frame internal wall (per hr),Labour to construct internal stud wall frame to plan,primitive,labour,carpentry,hr,102.00,85.00,percent,20,0.10,,,
LAB-CAR-02,Hang internal door (per hr),Labour to hang and adjust internal door in existing jamb,primitive,labour,carpentry,hr,104.40,87.00,percent,20,0.10,,,
LAB-CAR-03,Install skirting (per hr),Labour to measure cut and fix skirting boards,primitive,labour,carpentry,hr,106.80,89.00,percent,20,0.10,,,
LAB-CAR-04,Install architrave (per hr),Labour to install architrave around door openings,primitive,labour,carpentry,hr,109.20,91.00,percent,20,0.10,,,
LAB-CAR-05,Repair floor structure (per hr),Labour to splice or sister floor joists and replace damaged bearer,primitive,labour,carpentry,hr,111.60,93.00,percent,20,0.10,,,
LAB-CAR-06,Repair decking (per hr),Labour to replace damaged decking boards and fixings,primitive,labour,carpentry,hr,102.00,85.00,percent,20,0.10,,,
LAB-CAR-07,Install cabinetry (per hr),Labour to install base or wall cabinet and align doors,primitive,labour,carpentry,hr,104.40,87.00,percent,20,0.10,,,
LAB-CAR-08,Change door locks (per hr),Labour to replace locksets and rekey to new combination,primitive,labour,carpentry,hr,106.80,89.00,percent,20,0.10,,,
LAB-CAR-09,Install window lining (per hr),Labour to install internal window architrave and sill lining,primitive,labour,carpentry,hr,109.20,91.00,percent,20,0.10,,,
LAB-CAR-10,Repair stair tread (per hr),Labour to replace damaged stair tread and nosing,primitive,labour,carpentry,hr,111.60,93.00,percent,20,0.10,,,
LAB-GEN-01,Make safe attendance (per hr),Labour for emergency make safe attendance including temporary propping,primitive,labour,general,hr,86.40,72.00,percent,20,0.10,,,
LAB-GEN-02,Strip out wet area (per hr),Labour to strip out wet area fixtures linings and dispose off site,primitive,labour,general,hr,88.80,74.00,percent,20,0.10,,,
LAB-GEN-03,Demo strip out (per hr),Labour to demolish and remove damaged linings and fittings,primitive,labour,general,hr,91.20,76.00,percent,20,0.10,,,
LAB-GEN-04,Manual rubbish removal (per hr),Labour to collect and load debris for disposal,primitive,labour,general,hr,93.60,78.00,percent,20,0.10,,,
LAB-GEN-05,Final builders clean (per hr),Labour for final builders clean prior to handover,primitive,labour,general,hr,96.00,80.00,percent,20,0.10,,,
LAB-GEN-06,Prepare for painting (per hr),Labour to wash fill sand and mask surfaces for painting,primitive,labour,general,hr,86.40,72.00,percent,20,0.10,,,
LAB-GEN-07,Apply paint coats (per hr),Labour to apply two coats paint to walls or ceilings,primitive,labour,general,hr,88.80,74.00,percent,20,0.10,,,
LAB-GEN-08,Lay floor tiles (per hr),Labour to lay floor tiles including cutting and grouting,primitive,labour,general,hr,91.20,76.00,percent,20,0.10,,,
LAB-GEN-09,Lay carpet (per hr),Labour to lay carpet including trim and stretch to gripper,primitive,labour,general,hr,93.60,78.00,percent,20,0.10,,,
LAB-GEN-10,Roof repair labour (per hr),Labour to replace broken tiles and rebed ridge capping,primitive,labour,general,hr,96.00,80.00,percent,20,0.10,,,
LAB-GEN-11,Fence repair labour (per hr),Labour to replace fence palings rails and posts,primitive,labour,general,hr,86.40,72.00,percent,20,0.10,,,
LAB-GEN-12,Patch concrete (per hr),Labour to form and finish concrete patch repair to path or slab,primitive,labour,general,hr,88.80,74.00,percent,20,0.10,,,
LAB-GEN-13,Mould remediation clean (per hr),Labour for HEPA vacuum and antimicrobial wash of mould affected surfaces,primitive,labour,general,hr,91.20,76.00,percent,20,0.10,,,
LAB-GEN-14,Build containment (per hr),Labour to erect poly containment and negative air enclosure,primitive,labour,general,hr,93.60,78.00,percent,20,0.10,,,
LAB-GEN-15,Site supervision (per hr),Labour for on-site supervision and coordination of repair trades,primitive,labour,general,hr,96.00,80.00,percent,20,0.10,,,
LAB-GEN-16,Travel allowance (per hr),Travel time allowance to regional insurance repair site,primitive,labour,general,hr,86.40,72.00,percent,20,0.10,,,
EQ-SCAFF-1,Scaffold hire,Hire mobile aluminium scaffold tower per day for internal access works,primitive,equipment,general,ea,102.00,85.00,percent,20,0.10,,,
EQ-SCAFF-2,Scaffold erection,Erect and dismantle fixed scaffold per day for external access,primitive,equipment,general,ea,384.00,320.00,percent,20,0.10,,,
EQ-LADDER,Platform ladder hire,Hire platform ladder per day for ceiling and roof access,primitive,equipment,general,ea,54.00,45.00,percent,20,0.10,,,
EQ-PAINT-SPR,Airless sprayer hire,Hire airless paint sprayer per day including tip and hose,primitive,equipment,general,ea,114.00,95.00,percent,20,0.10,,,
EQ-DEHUM,Dehumidifier hire,Hire commercial dehumidifier per day for drying water damaged building,primitive,equipment,general,ea,90.00,75.00,percent,20,0.10,,,
EQ-AIR-SCRUB,Air scrubber hire,Hire HEPA air scrubber per day for dust and mould remediation,primitive,equipment,general,ea,132.00,110.00,percent,20,0.10,,,
